,arctic_trend,world_trend,AA,Ensemble_member,Model,No_arctic_crossing_year,World_crossing_year,gap
0,0.09283726061356888,0.033206300904128794,2.7957724313106405,r1i1p1f1,ACCESS-CM2,2025.241,2022.508,2.7329999999999472
1,0.1055408423284058,0.03158781485644418,3.3411884553601716,r2i1p1f1,ACCESS-CM2,2027.246,2024.669,2.576999999999998
2,0.03376083339811444,0.017021676743911487,1.9834023349192325,r1i1p1f1,ACCESS-ESM1-5,2033.857,2029.531,4.326000000000022
3,0.03149049509932913,0.019352157532254957,1.627234330169272,r2i1p1f1,ACCESS-ESM1-5,2030.715,2026.562,4.15300000000002
4,0.08745717855914102,0.0271554307624637,3.220614665410905,r3i1p1f1,ACCESS-ESM1-5,2028.144,2024.995,3.1490000000001146
5,0.030737376445070477,0.01158579777912776,2.6530220042719015,r1i1p1f1,AWI-CM-1-1-MR,2063.654,2043.557,20.09699999999998
6,0.044361814528299424,0.01620983123121154,2.7367227885064027,r1i1p1f1,BCC-CSM2-MR,2036.608,2030.139,6.469000000000051
7,0.03204741317121478,0.01197312957734958,2.6766112372024393,r1i1p1f1,CAMS-CSM1-0,2059.463,2037.726,21.73700000000008
8,0.03807361787144072,0.013329596909469374,2.856321772520604,r2i1p1f1,CAMS-CSM1-0,2048.843,2043.519,5.323999999999842
9,0.09602574351838153,0.03215646679097551,2.986203184030482,r1i1p1f1,CAS-ESM2-0,2028.115,2023.941,4.173999999999978
10,0.025464020692681874,0.02124814467784916,1.198411488567644,r4i1p1f1,CESM2,2029.449,2027.602,1.84699999999998
11,0.030138918963978103,0.01797711177967192,1.6765161908854822,r1i1p1f1,CESM2-WACCM,2033.309,2030.527,2.7819999999999254
12,0.03166542323069284,0.010268342269249804,3.083791170997486,r1i1p1f1,CIESM,2063.144,2038.965,24.17899999999986
13,0.0651565982978823,0.0212997795071292,3.0590268916198817,r1i1p1f1,CMCC-CM2-SR5,2042.739,2038.474,4.2650000000001
14,0.08924204609827104,0.029532793215910756,3.0217949736698793,r1i1p1f1,CMCC-ESM2,2038.784,2035.592,3.1920000000000073
15,0.03881168728151348,0.018528384045142163,2.09471517791047,r1i1p1f2,CNRM-CM6-1,2029.428,2026.864,2.564000000000078
16,0.05210824309146108,0.024677850179262245,2.11153900007261,r2i1p1f2,CNRM-CM6-1,2026.911,2024.251,2.660000000000082
17,0.01066664933192202,0.020013183472110545,0.5329811394967009,r3i1p1f2,CNRM-CM6-1,2029.204,2025.615,3.588999999999942
18,0.053404350695921574,0.02138355982880111,2.497449027359433,r4i1p1f2,CNRM-CM6-1,2030.061,2026.985,3.076000000000022
19,0.014797656318176394,0.018593086704543883,0.7958687308525303,r5i1p1f2,CNRM-CM6-1,2029.766,2027.202,2.564000000000078
20,0.003857259866465447,0.019155293971359358,0.20136782407165094,r6i1p1f2,CNRM-CM6-1,2032.396,2028.876,3.519999999999982
21,0.03761965578613025,0.019584839417241706,1.9208559735757353,r1i1p1f2,CNRM-CM6-1-HR,2033.26,2028.573,4.686999999999898
22,-0.026519451883629377,0.014118452373359083,-1.878354027929467,r1i1p1f2,CNRM-ESM2-1,2039.896,2039.03,0.8659999999999854
23,0.04150267911752517,0.02210541490912594,1.877489261709868,r2i1p1f2,CNRM-ESM2-1,2031.554,2029.712,1.8420000000000982
24,0.1183421173333567,0.03593288537532082,3.293420945667659,r3i1p1f2,CNRM-ESM2-1,2025.242,2022.259,2.9829999999999472
25,0.06155829898526676,0.03288368623466821,1.8720011663524458,r4i1p1f2,CNRM-ESM2-1,2023.821,2022.121,1.699999999999818
26,-7.406566882383743e-06,0.022767670552259568,-0.00032531070165404697,r5i1p1f2,CNRM-ESM2-1,2026.608,2024.229,2.3789999999999054
27,0.048271763928521866,0.013825947862381689,3.4913891191403974,r10i1p1f1,CanESM5,2052.175,2040.48,11.695000000000164
28,0.049912538245190236,0.013774447703886781,3.6235600379902166,r10i1p2f1,CanESM5,2042.351,2032.983,9.368000000000166
29,0.030040468108267455,0.013299168558028126,2.2588230216943406,r11i1p1f1,CanESM5,2041.937,2032.938,8.998999999999796
30,0.049754110917363925,0.013731796295058517,3.6232776723660174,r11i1p2f1,CanESM5,2053.589,2041.095,12.493999999999915
31,0.048938048602417794,0.013825107266104758,3.5397952189781567,r12i1p1f1,CanESM5,2047.213,2036.878,10.335000000000036
32,0.0647421902001939,0.015177909058299898,4.265553967381972,r12i1p2f1,CanESM5,2043.501,2033.513,9.988000000000056
33,0.05188682577428387,0.013160065955663063,3.9427481556014423,r13i1p1f1,CanESM5,2044.801,2034.129,10.672000000000025
34,0.043662346621122915,0.012999962267366359,3.3586517963000517,r13i1p2f1,CanESM5,2047.676,2038.524,9.152000000000044
35,0.04344319716875812,0.012908569807133854,3.365453943995365,r14i1p1f1,CanESM5,2049.238,2036.852,12.38599999999974
36,0.07133882495928923,0.017414005869226198,4.096634944022745,r14i1p2f1,CanESM5,2037.14,2030.081,7.0590000000001965
37,0.038836153909824124,0.013147226603549174,2.9539426892771488,r15i1p1f1,CanESM5,2045.88,2036.374,9.506000000000085
38,0.05981046196074821,0.014371068637371172,4.161866001058153,r15i1p2f1,CanESM5,2041.687,2028.344,13.342999999999847
39,0.06990421977798299,0.016255715652290777,4.300285590202975,r16i1p1f1,CanESM5,2043.165,2033.621,9.543999999999869
40,0.06423038784587722,0.016268702619888734,3.9480952689709015,r16i1p2f1,CanESM5,2038.513,2031.177,7.336000000000013
41,0.0535154417390076,0.013174135342072455,4.062159705320665,r17i1p1f1,CanESM5,2050.344,2037.7,12.644000000000005
