,year,no_arctic_tas,world_tas
0,1850,,
1,1851,,
2,1852,,
3,1853,,
4,1854,,
5,1855,,
6,1856,,
7,1857,,
8,1858,,
9,1859,,
10,1860,-0.027359600038451948,-0.023324099312203195
11,1861,-0.02456017069440668,-0.020775763681278085
12,1862,-0.030104726478049442,-0.027548405309798768
13,1863,-0.032559454297739605,-0.030212619998966482
14,1864,-0.03130778784886131,-0.029102350885381618
15,1865,-0.03778714090462172,-0.035243597498434275
16,1866,-0.04380499551469683,-0.04113010984444382
17,1867,-0.043336165471223057,-0.04108164627736967
18,1868,-0.02234940588225622,-0.020844685327814784
19,1869,-0.0010039668927145028,0.0004475941039326414
20,1870,0.004028441435320872,0.005264151000432644
21,1871,0.012315911927555177,0.013610276833577134
22,1872,0.025978274159870463,0.0267604317730775
23,1873,0.041375460479370775,0.04178055463015773
24,1874,0.04321164431570144,0.04427919465656263
25,1875,0.042476773839626336,0.04306075408602896
26,1876,0.036445484704920136,0.03635780101517959
27,1877,0.029959983931711377,0.029334150867237098
28,1878,0.02384154601699435,0.022928270385249812
29,1879,0.021637939546401638,0.02002990183475247
30,1880,0.026855632299503697,0.02499809538026001
31,1881,0.02126362303829884,0.01938933339084311
32,1882,0.021395353292026586,0.019361724612860436
33,1883,0.01463755370944729,0.011769874748467439
34,1884,0.007835301023713527,0.00489578946018001
35,1885,0.007431588991836667,0.003838051340673014
36,1886,0.0077149112931148775,0.003942002038694194
37,1887,0.017051043864639952,0.013004292706244777
38,1888,0.00970764112110211,0.006320871453674687
39,1889,-0.011396132399026645,-0.015837976679654208
40,1890,-0.01223937433013971,-0.017441489057257228
41,1891,-0.00643557096338785,-0.012123281317404849
42,1892,-0.006734039322463738,-0.012252066661218102
43,1893,-0.011019378597498374,-0.016849867640351443
44,1894,-0.017118775243829716,-0.022877103537293393
45,1895,-0.018347315886565123,-0.023100412965422933
46,1896,-0.012856166289083554,-0.016344663185147303
47,1897,-0.004337663937244067,-0.006697305574446907
48,1898,-0.0021047434676602153,-0.0032800530248570103
49,1899,-0.009617689853074787,-0.00940411296814021
50,1900,-0.02523736662550339,-0.02484982157315179
51,1901,-0.027260538337171014,-0.02668721833615219
52,1902,-0.03597245787991048,-0.0340513529365533
53,1903,-0.034912593404702374,-0.03252131676421234
54,1904,-0.03301016515319426,-0.03073050925994633
55,1905,-0.02370239037471272,-0.021603524358689105
56,1906,-0.012531471855803052,-0.010811374561239142
57,1907,-0.022188983756862308,-0.020164573930409643
58,1908,-0.03522958828168116,-0.034197526326009406
59,1909,-0.030658736907826924,-0.03023615762479854
60,1910,-0.03137064271717702,-0.030584717278251232
61,1911,-0.03653186277068469,-0.03463597591279425
62,1912,-0.03604448749497231,-0.03335498329457452
63,1913,-0.033398670873616844,-0.029099689336802743
64,1914,-0.02464224388733467,-0.01991375170164276
65,1915,-0.012893862922189431,-0.007651306658775589
66,1916,-0.006885933418498436,-0.0017710538419890482
67,1917,0.0007968114585133051,0.006776750733110376
68,1918,0.011697518286677179,0.01825356507179601
69,1919,0.024903836544239777,0.03282852192339786
70,1920,0.03176681281401783,0.04097004151563562
71,1921,0.04799888047708478,0.05900323393314775
72,1922,0.06890058766909955,0.0809587564860316
73,1923,0.08308164416134915,0.09686680295705649
74,1924,0.08791418896572067,0.10301733806879212
75,1925,0.08961369949837403,0.10727356661815457
76,1926,0.08690936253547189,0.1066984816408244
77,1927,0.09868254953197325,0.11998796043516288
78,1928,0.12080904305273091,0.14585509116698542
79,1929,0.13514148189742858,0.16464339885835763
80,1930,0.14756633470148964,0.17922621832880867
81,1931,0.1626390545345729,0.19602160639597016
82,1932,0.17593781380583087,0.20910260543859507
83,1933,0.18993768945199263,0.22416544649766323
84,1934,0.20390841521776318,0.2400715954668363
85,1935,0.2231507055293645,0.26069735387267234
86,1936,0.23438252168447676,0.27332022278509954
87,1937,0.23602326209628927,0.27453081682061986
88,1938,0.24394705281579374,0.2843914362537041
89,1939,0.25006726498142795,0.28954021373234673
90,1940,0.26197435602246577,0.30141898130732675
91,1941,0.2588623761869819,0.29797321810169586
92,1942,0.2618612047417697,0.3001531247365378
93,1943,0.27046335282561534,0.3084276572831355
94,1944,0.2889033653086635,0.32792234253389224
95,1945,0.2910303228166279,0.33039321511003894
96,1946,0.2926283200794828,0.33104119668112947
97,1947,0.2884584525461874,0.32679315535368786
98,1948,0.29035960332535543,0.32627999412213404
99,1949,0.2943566063460054,0.3270932785119105
100,1950,0.2949572806857727,0.3276193072914834
101,1951,0.28990213262653736,0.3217410290913857
102,1952,0.28873242648807296,0.320354825688158
103,1953,0.2883670536764047,0.32004207410974705
104,1954,0.29107474722825666,0.31986512437465126
105,1955,0.27476140443041636,0.3004854923618059
106,1956,0.2679902400874796,0.29237320557666835
107,1957,0.26923266816481833,0.2920195082228503
108,1958,0.2688355396385129,0.2900566637393573
109,1959,0.2680521095003048,0.2887213342487752
110,1960,0.27679737690031847,0.29674507369028824
111,1961,0.28726064214022184,0.3059768451880812
112,1962,0.28112061571388713,0.29976113138356275
113,1963,0.27642348597912375,0.29405860876489986
114,1964,0.2753281988436873,0.29149443434415845
115,1965,0.2733814416052174,0.2872390157303234
116,1966,0.27511965033127406,0.2891590634330958
117,1967,0.2746960566196386,0.2883701223709557
118,1968,0.2770764198839569,0.2909240357578605
119,1969,0.27293838588566616,0.2869136203898396
120,1970,0.2771039612947699,0.28852354917135337
121,1971,0.287326392969156,0.29791701324248676
122,1972,0.2930814710558975,0.3058433560687454
123,1973,0.2945840817946009,0.30546482932332786
124,1974,0.30134591758529655,0.3125510218151934
125,1975,0.31217047560311917,0.32493852577393095
126,1976,0.31784723172813695,0.3316761053405958
127,1977,0.32218201895247506,0.33725481098380994
128,1978,0.3347600875142504,0.34765182576338904
129,1979,0.3495538429281494,0.3635028548659694
130,1980,0.35260170150120645,0.3668421135335614
131,1981,0.3672554267437294,0.3825758941393572
132,1982,0.38854465419722867,0.4045217378516706
133,1983,0.3970065408662985,0.41267018038976433
134,1984,0.40035002095249367,0.4165496517873694
135,1985,0.4191871414234788,0.4357289214320613
136,1986,0.439950346502351,0.4583367626642076
137,1987,0.46212475113794327,0.48132509175881866
138,1988,0.4777109479733298,0.4972576570555708
139,1989,0.5057498315650404,0.5264101479688307
140,1990,0.5167591105539365,0.5392368169622621
141,1991,0.5235457983115567,0.547344410318525
142,1992,0.5373985526632292,0.5607595196771367
143,1993,0.5613692987035335,0.5871472468184397
144,1994,0.5764691010078831,0.6043273832146097
145,1995,0.5982599357101535,0.625818304672449
146,1996,0.625833536685293,0.6555293033026623
147,1997,0.6476936793284127,0.6805248697455596
148,1998,0.6622679836898321,0.7000857366442252
149,1999,0.6708028458885453,0.7104698675168228
150,2000,0.6909028981043372,0.7325293257527657
151,2001,0.7045433610760458,0.7491233544130759
152,2002,0.7115188204322803,0.7595500870096549
153,2003,0.7278523338845962,0.7807200907585818
154,2004,0.7473056980485249,0.8014383063785303
155,2005,0.7649815006864235,0.8221297071811622
156,2006,0.7856168030404036,0.8436190617208025
157,2007,0.813483920304756,0.8758169292400778
158,2008,0.8279603906599574,0.8937265228318811
159,2009,0.8326354843321058,0.9011659241058275
160,2010,0.8551603027289751,0.9276234374350836
161,2011,0.879416622120752,0.9550424388050388
162,2012,0.8853085102388152,0.9632863270086066
163,2013,,
164,2014,,
165,2015,,
166,2016,,
167,2017,,
168,2018,,
169,2019,,
170,2020,,
171,2021,,
