,year,Experiment,Model,adjusted_world_tas_anom,adjusted_no_arctic_tas_anom
0,1850,historical,ACCESS-CM2,,
392,1851,historical,ACCESS-CM2,,
783,1852,historical,ACCESS-CM2,,
1174,1853,historical,ACCESS-CM2,,
1565,1854,historical,ACCESS-CM2,,
1956,1855,historical,ACCESS-CM2,,
2347,1856,historical,ACCESS-CM2,,
2738,1857,historical,ACCESS-CM2,,
3129,1858,historical,ACCESS-CM2,,
3520,1859,historical,ACCESS-CM2,,
3911,1860,historical,ACCESS-CM2,,
4302,1861,historical,ACCESS-CM2,,
4693,1862,historical,ACCESS-CM2,0.055166858129004175,0.04531796004752798
5084,1863,historical,ACCESS-CM2,0.05311308931440007,0.04333878797783437
5475,1864,historical,ACCESS-CM2,0.04840397137674295,0.03832927756149096
5866,1865,historical,ACCESS-CM2,0.04106819604302631,0.030109252727504227
6257,1866,historical,ACCESS-CM2,0.036047955123478206,0.026342937806516843
6648,1867,historical,ACCESS-CM2,0.02563509631558887,0.01576319538677973
7039,1868,historical,ACCESS-CM2,0.023760076898381784,0.014205025403830264
7430,1869,historical,ACCESS-CM2,0.02279614206590307,0.014170212072472745
7821,1870,historical,ACCESS-CM2,0.021223995697749215,0.013464170151014924
8212,1871,historical,ACCESS-CM2,0.019208689891229556,0.0116687889457465
8603,1872,historical,ACCESS-CM2,-0.005242283276374665,-0.01077408659990414
8994,1873,historical,ACCESS-CM2,-0.02516952397884838,-0.026074645089095048
9385,1874,historical,ACCESS-CM2,-0.039061186849443,-0.037815436704684624
9776,1875,historical,ACCESS-CM2,-0.0449547630819757,-0.041295304701800505
10167,1876,historical,ACCESS-CM2,-0.04588406109613061,-0.043074888069162036
10558,1877,historical,ACCESS-CM2,-0.05015089032620114,-0.04830942826346912
10949,1878,historical,ACCESS-CM2,-0.04870064920690448,-0.04676651956141592
11340,1879,historical,ACCESS-CM2,-0.04997293101468826,-0.04802186414263085
11731,1880,historical,ACCESS-CM2,-0.06357227792306694,-0.0599184562824465
12122,1881,historical,ACCESS-CM2,-0.06213728756079056,-0.05804491318501108
12513,1882,historical,ACCESS-CM2,-0.05991897634130379,-0.05416052506591665
12904,1883,historical,ACCESS-CM2,-0.05981652052277434,-0.05281730455254547
13295,1884,historical,ACCESS-CM2,-0.059906881760019695,-0.05104879628673968
13686,1885,historical,ACCESS-CM2,-0.06325047222831899,-0.05309622770812229
14077,1886,historical,ACCESS-CM2,-0.05050760147844389,-0.041633519319650134
14468,1887,historical,ACCESS-CM2,-0.05007176353035001,-0.04106575978492056
14859,1888,historical,ACCESS-CM2,-0.04742679343119855,-0.03855369247442447
15250,1889,historical,ACCESS-CM2,-0.045135336484511825,-0.03621996344721544
15641,1890,historical,ACCESS-CM2,-0.046375897064684084,-0.03745426217565661
16032,1891,historical,ACCESS-CM2,-0.05439073405865909,-0.04539884154555502
16423,1892,historical,ACCESS-CM2,-0.060055879738127926,-0.0497077397583216
16814,1893,historical,ACCESS-CM2,-0.06178361608494209,-0.05014903413638642
17205,1894,historical,ACCESS-CM2,-0.06183518957550001,-0.050391724714619675
17596,1895,historical,ACCESS-CM2,-0.07075482664756046,-0.059795066703125545
17987,1896,historical,ACCESS-CM2,-0.07297463107276746,-0.06269125552915726
18378,1897,historical,ACCESS-CM2,-0.06190011587920157,-0.051294551222748785
18769,1898,historical,ACCESS-CM2,-0.04456671601256654,-0.036014403521867154
19160,1899,historical,ACCESS-CM2,-0.02905119816643387,-0.02014550741309595
19551,1900,historical,ACCESS-CM2,-0.0324693195495339,-0.02111881200425592
19942,1901,historical,ACCESS-CM2,-0.038697973564089376,-0.02465017091224903
20333,1902,historical,ACCESS-CM2,-0.05319821555051421,-0.036066717676783266
20724,1903,historical,ACCESS-CM2,-0.061264731309105855,-0.0411934652589793
21115,1904,historical,ACCESS-CM2,-0.05769501921522193,-0.036457671830120525
21506,1905,historical,ACCESS-CM2,-0.059880024715703827,-0.03579391447222246
21897,1906,historical,ACCESS-CM2,-0.05934578838064147,-0.03264709374213988
22288,1907,historical,ACCESS-CM2,-0.0634878877352526,-0.03577686358076474
22679,1908,historical,ACCESS-CM2,-0.07132458503185578,-0.04186894307332282
23070,1909,historical,ACCESS-CM2,-0.08175551182637292,-0.05043752140711357
23461,1910,historical,ACCESS-CM2,-0.09928734481915676,-0.06618809385054035
23852,1911,historical,ACCESS-CM2,-0.11100463804044361,-0.07752262463700253
24243,1912,historical,ACCESS-CM2,-0.11753680609318364,-0.08246104302014319
24634,1913,historical,ACCESS-CM2,-0.12204010084471716,-0.08597180979469954
25025,1914,historical,ACCESS-CM2,-0.12838958255570734,-0.09006826385859065
25416,1915,historical,ACCESS-CM2,-0.12815996757317027,-0.088533877669519
25807,1916,historical,ACCESS-CM2,-0.12095480122557628,-0.07958078951510243
26198,1917,historical,ACCESS-CM2,-0.10978435902181577,-0.06852008952137312
26589,1918,historical,ACCESS-CM2,-0.10494100117036347,-0.06455265463001154
26980,1919,historical,ACCESS-CM2,-0.10799161442357272,-0.06841715644775773
27371,1920,historical,ACCESS-CM2,-0.09683200234583227,-0.0582907097944388
27762,1921,historical,ACCESS-CM2,-0.08525330781091908,-0.047842951483547204
28153,1922,historical,ACCESS-CM2,-0.05992549884050199,-0.02533336167622555
28544,1923,historical,ACCESS-CM2,-0.049475582166901275,-0.01874363615245621
28935,1924,historical,ACCESS-CM2,-0.03615899432917358,-0.009654674850033827
29326,1925,historical,ACCESS-CM2,-0.020452780690751272,-0.00015227669321568032
29717,1926,historical,ACCESS-CM2,2.8143282311193985e-05,0.01614012121183824
30108,1927,historical,ACCESS-CM2,0.02975005140773682,0.04179539236275105
30499,1928,historical,ACCESS-CM2,0.049569558546234974,0.05618093921625942
30890,1929,historical,ACCESS-CM2,0.06614189061240866,0.06960873950422193
31281,1930,historical,ACCESS-CM2,0.09151676948158775,0.09037131591154321
31672,1931,historical,ACCESS-CM2,0.10318498787250606,0.0990064680174593
32063,1932,historical,ACCESS-CM2,0.12037649316101724,0.11410777517201982
32454,1933,historical,ACCESS-CM2,0.14287476583205627,0.13338235300832763
32845,1934,historical,ACCESS-CM2,0.16107237584043563,0.14799120477097003
33236,1935,historical,ACCESS-CM2,0.17814308373744914,0.1616887966928769
33627,1936,historical,ACCESS-CM2,0.18679513621388613,0.17152371704446762
34018,1937,historical,ACCESS-CM2,0.19773520388421248,0.1816660380450903
34409,1938,historical,ACCESS-CM2,0.19782078117197213,0.1809602243568112
34800,1939,historical,ACCESS-CM2,0.20742749930127383,0.19011856732244078
35191,1940,historical,ACCESS-CM2,0.21167824660539986,0.1929471628554567
35582,1941,historical,ACCESS-CM2,0.2178942301028383,0.1958098348895787
35973,1942,historical,ACCESS-CM2,0.21645974506423496,0.19318495188902782
36364,1943,historical,ACCESS-CM2,0.22167296455400665,0.19742117897380088
36755,1944,historical,ACCESS-CM2,0.2258511674532946,0.2024970634281138
37146,1945,historical,ACCESS-CM2,0.22789014854785591,0.2054656967120365
37537,1946,historical,ACCESS-CM2,0.22575419115318723,0.20410787296983446
37928,1947,historical,ACCESS-CM2,0.21798486232473893,0.19790104021364965
38319,1948,historical,ACCESS-CM2,0.21892857859796083,0.19979770691425633
38710,1949,historical,ACCESS-CM2,0.21645646244382016,0.19894492435794975
39101,1950,historical,ACCESS-CM2,0.21947332294066932,0.20390165801856616
39492,1951,historical,ACCESS-CM2,0.2099864430639114,0.1946608615797517
39882,1952,historical,ACCESS-CM2,0.19402277424239203,0.17860989137659125
40272,1953,historical,ACCESS-CM2,0.17863616321984732,0.16449352371994522
40662,1954,historical,ACCESS-CM2,0.1559014773444577,0.1439612898227781
41052,1955,historical,ACCESS-CM2,0.1416938195558929,0.13101533598026438
41442,1956,historical,ACCESS-CM2,0.13867594144779188,0.12863317593190535
