,Model,Ensemble_member,No_arctic_crossing_year,World_crossing_year,gap
84,FGOALS-g3,r1i1p1f1,2061.036,2051.504,9.532000000000153
85,GFDL-ESM4,r1i1p1f1,2054.099,2047.495,6.604000000000269
86,GISS-E2-1-G,r1i1p1f2,2045.506,2042.334,3.1720000000000255
87,GISS-E2-1-G,r1i1p3f1,2038.563,2032.965,5.598000000000184
88,INM-CM4-8,r1i1p1f1,2049.634,2045.953,3.68100000000004
89,INM-CM5-0,r1i1p1f1,2046.692,2042.666,4.026000000000067
90,INM-CM5-0,r2i1p1f1,2056.342,2051.697,4.644999999999982
91,INM-CM5-0,r3i1p1f1,2054.222,2048.081,6.141000000000076
92,INM-CM5-0,r4i1p1f1,2046.243,2042.755,3.487999999999829
93,INM-CM5-0,r5i1p1f1,2053.741,2049.519,4.222000000000207
94,IPSL-CM5A2-INCA,r1i1p1f1,2063.334,2057.94,5.393999999999778
95,IPSL-CM6A-LR,r1i1p1f1,2048.53,2044.973,3.5570000000002437
96,IPSL-CM6A-LR,r2i1p1f1,2052.393,2047.328,5.065000000000055
97,IPSL-CM6A-LR,r3i1p1f1,2053.211,2048.903,4.307999999999993
98,IPSL-CM6A-LR,r4i1p1f1,2049.306,2046.73,2.576000000000022
99,IPSL-CM6A-LR,r5i1p1f1,2046.24,2043.05,3.1900000000000546
100,IPSL-CM6A-LR,r6i1p1f1,2051.45,2045.251,6.198999999999842
101,IPSL-CM6A-LR,r7i1p1f1,2052.099,2048.621,3.4780000000000655
102,IPSL-CM6A-LR,r8i1p1f1,2052.572,2045.115,7.457000000000107
103,IPSL-CM6A-LR,r9i1p1f1,2053.497,2050.397,3.099999999999909
104,KACE-1-0-G,r1i1p1f1,2049.076,2041.958,7.117999999999938
105,MCM-UA-1-0,r1i1p1f2,2061.765,2056.126,5.638999999999669
106,MIROC-ES2L,r1i1p1f2,2049.378,2044.286,5.092000000000098
107,MIROC-ES2L,r2i1p1f2,2050.166,2042.939,7.227000000000089
108,MIROC6,r1i1p1f1,2048.11,2045.407,2.703000000000202
109,MIROC6,r2i1p1f1,2038.69,2033.727,4.962999999999965
110,MIROC6,r3i1p1f1,2044.78,2043.345,1.4349999999999454
111,MPI-ESM1-2-HR,r10i1p1f1,2052.225,2049.994,2.230999999999767
112,MPI-ESM1-2-HR,r1i1p1f1,2053.993,2050.771,3.2219999999997526
113,MPI-ESM1-2-HR,r2i1p1f1,2058.88,2052.104,6.776000000000295
114,MPI-ESM1-2-HR,r3i1p1f1,2054.187,2049.444,4.742999999999938
115,MPI-ESM1-2-HR,r4i1p1f1,2056.181,2052.386,3.7950000000000728
116,MPI-ESM1-2-HR,r5i1p1f1,2050.84,2047.643,3.1970000000001164
117,MPI-ESM1-2-HR,r6i1p1f1,2061.765,2056.277,5.487999999999829
118,MPI-ESM1-2-HR,r7i1p1f1,2062.049,2057.108,4.9409999999998035
119,MPI-ESM1-2-HR,r8i1p1f1,2059.595,2056.273,3.3219999999996617
120,MPI-ESM1-2-HR,r9i1p1f1,2065.842,2060.884,4.958000000000084
121,MPI-ESM1-2-LR,r10i1p1f1,2051.73,2047.383,4.34699999999998
