,Model,Ensemble_member,No_arctic_crossing_year,World_crossing_year,gap
0,ACCESS-CM2,r1i1p1f1,2044.108,2040.328,3.7799999999999727
1,ACCESS-CM2,r2i1p1f1,2046.261,2040.6,5.661000000000058
2,ACCESS-ESM1-5,r1i1p1f1,1881.855,2065.821,-183.9659999999999
3,ACCESS-ESM1-5,r2i1p1f1,1912.099,2062.354,-150.25499999999988
4,ACCESS-ESM1-5,r3i1p1f1,2045.973,2038.392,7.580999999999904
5,AWI-CM-1-1-MR,r1i1p1f1,2041.014,2053.336,-12.321999999999889
6,BCC-CSM2-MR,r1i1p1f1,2064.374,2077.017,-12.643000000000029
7,CAMS-CSM1-0,r1i1p1f1,2064.878,2076.828,-11.949999999999818
8,CAMS-CSM1-0,r2i1p1f1,2053.833,2061.545,-7.711999999999989
9,CAS-ESM2-0,r1i1p1f1,2042.809,2039.802,3.007000000000062
10,CESM2,r4i1p1f1,2062.936,2045.52,17.416000000000167
11,CESM2-WACCM,r1i1p1f1,6525.736,2288.802,4236.933999999999
12,CIESM,r1i1p1f1,596.343,1975.628,-1379.2849999999999
13,CMCC-CM2-SR5,r1i1p1f1,2087.677,2054.088,33.58899999999994
14,CMCC-ESM2,r1i1p1f1,2046.608,2043.05,3.5579999999999927
15,CNRM-CM6-1,r1i1p1f2,2077.145,2060.273,16.871999999999844
16,CNRM-CM6-1,r2i1p1f2,2064.858,2058.263,6.595000000000255
17,CNRM-CM6-1,r3i1p1f2,2072.146,2068.959,3.187000000000353
18,CNRM-CM6-1,r4i1p1f2,2064.606,2042.977,21.629000000000133
19,CNRM-CM6-1,r5i1p1f2,2075.414,2067.966,7.44800000000032
20,CNRM-CM6-1,r6i1p1f2,2068.017,2070.161,-2.144000000000233
21,CNRM-CM6-1-HR,r1i1p1f2,2092.242,2060.081,32.16100000000006
22,CNRM-ESM2-1,r1i1p1f2,2088.91,2072.531,16.378999999999905
23,CNRM-ESM2-1,r2i1p1f2,2058.79,2053.81,4.980000000000018
24,CNRM-ESM2-1,r3i1p1f2,2045.867,2040.928,4.938999999999851
25,CNRM-ESM2-1,r4i1p1f2,2037.142,2034.434,2.7080000000000837
26,CNRM-ESM2-1,r5i1p1f2,2046.699,2042.377,4.322000000000116
27,CanESM5,r10i1p1f1,1867.778,1983.893,-116.11500000000001
28,CanESM5,r10i1p2f1,2017.793,2040.102,-22.309000000000196
29,CanESM5,r11i1p1f1,1770.557,1845.598,-75.04099999999994
30,CanESM5,r11i1p2f1,2007.388,2029.363,-21.975000000000136
31,CanESM5,r12i1p1f1,1396.963,1872.11,-475.14699999999993
32,CanESM5,r12i1p2f1,1928.642,2034.999,-106.35699999999997
33,CanESM5,r13i1p1f1,1870.668,1976.581,-105.91300000000001
34,CanESM5,r13i1p2f1,1370.429,1911.27,-540.8409999999999
35,CanESM5,r14i1p1f1,1971.367,2033.485,-62.11799999999994
36,CanESM5,r14i1p2f1,2017.535,2051.027,-33.49199999999996
37,CanESM5,r15i1p1f1,1967.006,2001.862,-34.855999999999995
38,CanESM5,r15i1p2f1,1921.532,1737.168,184.36400000000003
39,CanESM5,r16i1p1f1,1897.369,2059.877,-162.50800000000004
40,CanESM5,r16i1p2f1,2043.468,2071.468,-27.999999999999773
41,CanESM5,r17i1p1f1,2011.216,2047.082,-35.86600000000021
42,CanESM5,r17i1p2f1,1816.56,1814.264,2.296000000000049
43,CanESM5,r18i1p1f1,2003.491,2035.962,-32.471000000000004
44,CanESM5,r18i1p2f1,1991.942,2032.789,-40.84699999999998
45,CanESM5,r19i1p1f1,2650.841,2600.318,50.52299999999968
46,CanESM5,r19i1p2f1,1401.18,1691.746,-290.56600000000003
47,CanESM5,r1i1p1f1,1929.874,2064.177,-134.3030000000001
48,CanESM5,r1i1p2f1,2025.046,2046.376,-21.329999999999927
49,CanESM5,r20i1p1f1,2006.436,2042.571,-36.13499999999999
50,CanESM5,r20i1p2f1,1763.809,2004.967,-241.15800000000013
51,CanESM5,r21i1p1f1,1991.341,2027.334,-35.993000000000166
52,CanESM5,r21i1p2f1,1886.631,1931.745,-45.113999999999805
