,Model,No_arctic_crossing_year,World_crossing_year,gap
0,ACCESS-CM2,2038.802,2034.671,4.130999999999858
1,ACCESS-ESM1-5,2050.161,2047.476,2.6849999999999454
2,AWI-CM-1-1-MR,2056.556,2051.744,4.811999999999898
3,BCC-CSM2-MR,2045.212,2041.229,3.9829999999999472
4,CAMS-CSM1-0,2053.205,2048.341,4.864000000000033
5,CAS-ESM2-0,2044.671,2041.213,3.4580000000000837
6,CESM2,2046.316,2044.571,1.7450000000001182
7,CESM2-WACCM,2049.597,2046.442,3.1550000000002
8,CMCC-CM2-SR5,2057.565,2052.617,4.947999999999865
9,CMCC-ESM2,2050.592,2046.917,3.675000000000182
10,CNRM-CM6-1,2045.497,2043.383,2.1140000000000327
11,CNRM-CM6-1-HR,2050.426,2046.11,4.316000000000031
12,CNRM-ESM2-1,2047.942,2047.433,0.5090000000000146
13,CanESM5,2050.553,2044.764,5.788999999999987
14,CanESM5-CanOE,2051.236,2045.694,5.541999999999916
15,EC-Earth3,2054.515,2051.414,3.100999999999658
16,EC-Earth3-AerChem,2040.368,2037.934,2.433999999999969
17,EC-Earth3-Veg,2059.651,2056.325,3.326000000000022
18,FGOALS-f3-L,2053.867,2048.806,5.061000000000149
19,FGOALS-g3,2064.118,2056.07,8.047999999999774
20,GFDL-ESM4,2050.925,2046.212,4.713000000000193
21,GISS-E2-1-G,2035.815,2032.086,3.729000000000042
22,INM-CM4-8,2053.701,2049.415,4.286000000000058
23,INM-CM5-0,2052.443,2046.714,5.729000000000269
24,IPSL-CM5A2-INCA,2064.249,2058.778,5.471000000000004
25,IPSL-CM6A-LR,2051.705,2046.071,5.6340000000000146
26,KACE-1-0-G,2047.827,2041.612,6.214999999999918
27,MCM-UA-1-0,2065.863,2059.223,6.639999999999873
28,MIROC-ES2L,2048.136,2043.333,4.802999999999884
29,MIROC6,2049.037,2043.102,5.934999999999718
30,MPI-ESM1-2-HR,2057.592,2052.666,4.925999999999931
31,MPI-ESM1-2-LR,2056.425,2051.668,4.757000000000062
32,MRI-ESM2-0,2043.838,2040.957,2.880999999999858
33,NorESM2-LM,2050.107,2048.712,1.3949999999999818
34,NorESM2-MM,2046.222,2043.393,2.828999999999951
35,TaiESM1,2036.341,2034.109,2.231999999999971
36,UKESM1-0-LL,2035.187,2030.957,4.229999999999791
37,UKESM1-1-LL,2041.08,2038.276,2.80399999999986
