,Model,No_arctic_crossing_year,World_crossing_year,gap
0,ACCESS-CM2,2035.62,2031.938,3.681999999999789
1,ACCESS-ESM1-5,2046.86,2042.144,4.7159999999998945
2,AWI-CM-1-1-MR,2071.619,2060.914,10.704999999999927
3,BCC-CSM2-MR,2044.673,2041.538,3.134999999999991
4,CAMS-CSM1-0,2057.715,2053.083,4.632000000000062
5,CAS-ESM2-0,2040.41,2036.389,4.0210000000001855
6,CESM2,2047.612,2044.207,3.4049999999999727
7,CESM2-WACCM,2050.584,2047.221,3.362999999999829
8,CIESM,2064.002,2056.469,7.532999999999902
9,CMCC-CM2-SR5,2057.513,2052.25,5.26299999999992
10,CMCC-ESM2,2050.692,2046.528,4.163999999999987
11,CNRM-CM6-1,2050.483,2046.984,3.499000000000251
12,CNRM-CM6-1-HR,2050.322,2045.829,4.4930000000001655
13,CNRM-ESM2-1,2046.669,2045.287,1.3820000000000618
14,CanESM5,2056.72,2047.849,8.870999999999867
15,CanESM5-CanOE,2060.168,2050.284,9.884000000000015
16,EC-Earth3,2055.677,2050.617,5.059999999999945
17,EC-Earth3-CC,2085.464,2078.503,6.960999999999785
18,EC-Earth3-Veg,2075.271,2069.157,6.114000000000033
19,FGOALS-f3-L,2074.111,2061.215,12.89599999999973
20,FGOALS-g3,2106.863,2084.853,22.009999999999764
21,FIO-ESM-2-0,2071.714,2061.845,9.869000000000142
22,GFDL-CM4,2047.664,2041.545,6.1189999999999145
23,GFDL-ESM4,2059.662,2051.522,8.139999999999873
24,GISS-E2-1-G,2043.121,2037.984,5.137000000000171
25,HadGEM3-GC31-LL,2042.854,2036.442,6.412000000000035
26,IITM-ESM,2082.547,2066.939,15.608000000000175
27,INM-CM4-8,2069.556,2056.225,13.331000000000131
28,INM-CM5-0,2070.885,2062.798,8.087000000000444
29,IPSL-CM6A-LR,2054.331,2048.04,6.291000000000167
30,KACE-1-0-G,2053.189,2044.807,8.381999999999834
31,KIOST-ESM,2117.064,2073.832,43.23199999999997
32,MCM-UA-1-0,2067.988,2061.069,6.918999999999869
33,MIROC-ES2L,2048.51,2042.256,6.254000000000133
34,MIROC6,2047.258,2040.267,6.9909999999999854
35,MPI-ESM1-2-HR,2068.933,2061.242,7.6909999999998035
36,MPI-ESM1-2-LR,2070.056,2058.696,11.360000000000127
37,MRI-ESM2-0,2046.571,2042.758,3.8129999999998745
38,NESM3,2052.458,2047.151,5.307000000000016
39,NorESM2-LM,2055.335,2054.299,1.0360000000000582
40,NorESM2-MM,2042.577,2039.675,2.9020000000000437
41,TaiESM1,2028.979,2027.326,1.65300000000002
42,UKESM1-0-LL,2035.892,2031.017,4.875
