,Model,No_arctic_crossing_year,World_crossing_year,gap
0,AWI-CM-1-1-MR,2045.043,2037.941,7.101999999999862
1,CESM2,2028.127,2025.648,2.479000000000042
2,CESM2-WACCM,2032.527,2029.417,3.1100000000001273
3,CIESM,2044.243,2034.801,9.442000000000007
4,EC-Earth3-Veg-LR,2046.921,2045.174,1.747000000000071
5,FIO-ESM-2-0,2043.082,2035.695,7.387000000000171
6,GFDL-CM4,2034.66,2026.919,7.7409999999999854
7,GFDL-ESM4,2047.073,2035.931,11.142000000000053
8,GISS-E2-1-G,2029.042,2021.81,7.231999999999971
9,HadGEM3-GC31-LL,2038.094,2032.304,5.789999999999964
10,INM-CM4-8,2038.705,2030.155,8.549999999999955
11,INM-CM5-0,2035.929,2032.161,3.768000000000029
12,IPSL-CM6A-LR,2045.135,2036.711,8.423999999999978
13,KACE-1-0-G,2037.86,2034.311,3.548999999999978
14,KIOST-ESM,2032.839,2030.724,2.115000000000009
15,MCM-UA-1-0,2031.627,2029.987,1.6399999999998727
16,MIROC-ES2L,2042.353,2035.115,7.238000000000056
17,MIROC6,2036.457,2035.477,0.9800000000000182
18,MPI-ESM1-2-HR,2055.301,2044.905,10.395999999999958
19,MPI-ESM1-2-LR,2039.262,2031.965,7.2970000000000255
20,MRI-ESM2-0,2033.831,2032.34,1.4909999999999854
21,NESM3,2037.004,2036.002,1.0019999999999527
22,NorESM2-LM,2045.311,2044.036,1.2749999999998636
23,NorESM2-MM,2043.698,2037.553,6.144999999999982
24,TaiESM1,2024.964,2023.108,1.8559999999999945
25,UKESM1-0-LL,2033.833,2028.178,5.654999999999973
