,Model,No_arctic_crossing_year,World_crossing_year,gap
0,ACCESS-CM2,2038.823,2033.982,4.841000000000122
1,ACCESS-ESM1-5,2051.476,2046.079,5.397000000000162
2,AWI-CM-1-1-MR,2083.625,2067.325,16.300000000000182
3,BCC-CSM2-MR,2058.733,2051.033,7.700000000000273
4,CAMS-CSM1-0,2063.431,2056.132,7.298999999999978
5,CAS-ESM2-0,2045.691,2042.09,3.6010000000001128
6,CESM2,2050.436,2045.908,4.528000000000247
7,CESM2-WACCM,2052.918,2049.607,3.311000000000149
8,CIESM,2070.253,2058.744,11.509000000000015
9,CMCC-CM2-SR5,2064.904,2056.789,8.114999999999782
10,CMCC-ESM2,2053.639,2048.241,5.398000000000138
11,CNRM-CM6-1,2051.593,2047.602,3.990999999999758
12,CNRM-CM6-1-HR,2055.412,2049.68,5.731999999999971
13,CNRM-ESM2-1,2053.692,2052.399,1.29300000000012
14,CanESM5,2067.755,2055.993,11.762000000000171
15,CanESM5-CanOE,2067.711,2053.256,14.454999999999927
16,EC-Earth3,2069.053,2062.066,6.98700000000008
17,EC-Earth3-CC,2093.451,2083.839,9.61200000000008
18,EC-Earth3-Veg,2077.958,2070.79,7.16800000000012
19,FGOALS-f3-L,2080.131,2060.369,19.761999999999716
20,FGOALS-g3,2127.372,,
21,FIO-ESM-2-0,2078.906,2066.242,12.66399999999976
22,GFDL-CM4,2052.715,2045.534,7.18100000000004
23,GFDL-ESM4,2065.827,2054.636,11.191000000000258
24,GISS-E2-1-G,2038.069,2032.975,5.094000000000051
25,HadGEM3-GC31-LL,2048.053,2041.401,6.651999999999816
26,IITM-ESM,2090.223,2074.161,16.061999999999898
27,INM-CM4-8,2079.77,2060.123,19.646999999999935
28,INM-CM5-0,2079.608,2069.326,10.282000000000153
29,IPSL-CM6A-LR,2061.658,2054.046,7.61200000000008
30,KACE-1-0-G,2059.382,2049.109,10.273000000000138
31,KIOST-ESM,2144.098,,
32,MCM-UA-1-0,2082.19,2066.345,15.845000000000255
33,MIROC-ES2L,2055.732,2046.992,8.740000000000009
34,MIROC6,2051.32,2044.652,6.66800000000012
35,MPI-ESM1-2-HR,2079.073,2067.822,11.250999999999749
36,MPI-ESM1-2-LR,2079.87,2066.024,13.846000000000004
37,MRI-ESM2-0,2046.251,2042.119,4.132000000000062
38,NESM3,2052.038,2046.187,5.851000000000113
39,NorESM2-LM,2055.991,2052.106,3.8849999999997635
40,NorESM2-MM,2053.977,2049.384,4.592999999999847
41,TaiESM1,2032.659,2030.509,2.150000000000091
42,UKESM1-0-LL,2040.322,2033.905,6.416999999999916
