,year,Experiment,Model,adjusted_world_tas_anom,adjusted_no_arctic_tas_anom
0,1850,historical,AWI-CM-1-1-MR,,
1,1851,historical,AWI-CM-1-1-MR,,
2,1852,historical,AWI-CM-1-1-MR,,
3,1853,historical,AWI-CM-1-1-MR,,
4,1854,historical,AWI-CM-1-1-MR,,
5,1855,historical,AWI-CM-1-1-MR,,
6,1856,historical,AWI-CM-1-1-MR,,
7,1857,historical,AWI-CM-1-1-MR,0.03418392618238426,0.017209678506533776
8,1858,historical,AWI-CM-1-1-MR,0.03373991886436549,0.019227882042021867
9,1859,historical,AWI-CM-1-1-MR,0.040525017021305385,0.027412956689582244
10,1860,historical,AWI-CM-1-1-MR,0.04303316626855084,0.03129190663141511
11,1861,historical,AWI-CM-1-1-MR,0.04264359010160774,0.03266063467532812
12,1862,historical,AWI-CM-1-1-MR,0.04180807200597527,0.03225935151643937
13,1863,historical,AWI-CM-1-1-MR,0.038229724531432356,0.031140292154691496
14,1864,historical,AWI-CM-1-1-MR,0.030402716134064603,0.025766104655141748
15,1865,historical,AWI-CM-1-1-MR,0.03024747475389359,0.02828755811038356
16,1866,historical,AWI-CM-1-1-MR,0.02813993902147716,0.028454274712364513
17,1867,historical,AWI-CM-1-1-MR,0.023426513832240002,0.02554100850222926
18,1868,historical,AWI-CM-1-1-MR,0.025025079766273387,0.030096405476321145
19,1869,historical,AWI-CM-1-1-MR,0.017406174181289372,0.024075415869757737
20,1870,historical,AWI-CM-1-1-MR,0.017494780858712408,0.026403032989347576
21,1871,historical,AWI-CM-1-1-MR,0.00691346478760122,0.01663940111386086
22,1872,historical,AWI-CM-1-1-MR,-0.0021704658100870798,0.008696880080445495
23,1873,historical,AWI-CM-1-1-MR,0.002755980990862316,0.011540972819122293
24,1874,historical,AWI-CM-1-1-MR,-0.0027058250314937497,0.003220806125843543
25,1875,historical,AWI-CM-1-1-MR,-0.009952057073314487,-0.003479478342881422
26,1876,historical,AWI-CM-1-1-MR,-0.015333624399371274,-0.009349948970610119
27,1877,historical,AWI-CM-1-1-MR,-0.04389484573572256,-0.03539786463952744
28,1878,historical,AWI-CM-1-1-MR,-0.0650632794959533,-0.05692950119087621
29,1879,historical,AWI-CM-1-1-MR,-0.06457801941579351,-0.05536973498792761
30,1880,historical,AWI-CM-1-1-MR,-0.06742433054490043,-0.059479437962045176
31,1881,historical,AWI-CM-1-1-MR,-0.06988582063320378,-0.06442148229275418
32,1882,historical,AWI-CM-1-1-MR,-0.06275771753404216,-0.05789664437572595
33,1883,historical,AWI-CM-1-1-MR,-0.06213146067190998,-0.059142387675357004
34,1884,historical,AWI-CM-1-1-MR,-0.06938782181260904,-0.06576187271283981
35,1885,historical,AWI-CM-1-1-MR,-0.06404092828019753,-0.062141435068400024
36,1886,historical,AWI-CM-1-1-MR,-0.05563848717607897,-0.05341579080355492
37,1887,historical,AWI-CM-1-1-MR,-0.04783928130077834,-0.04725222234243469
38,1888,historical,AWI-CM-1-1-MR,-0.05352617671765149,-0.04891449033815414
39,1889,historical,AWI-CM-1-1-MR,-0.04991944144648255,-0.04379981261379888
