,Model,No_arctic_crossing_year,World_crossing_year,gap
0,ACCESS-CM2,2039.236,2034.56,4.676000000000158
1,ACCESS-ESM1-5,,2066.049,
2,AWI-CM-1-1-MR,,,
3,BCC-CSM2-MR,,,
4,CAMS-CSM1-0,,,
5,CAS-ESM2-0,2042.436,2037.981,4.454999999999927
6,CESM2,2056.87,2047.064,9.805999999999813
7,CESM2-WACCM,2277.854,2073.727,204.12699999999995
8,CIESM,,,
9,CMCC-CM2-SR5,,2081.019,
10,CMCC-ESM2,2055.99,2050.537,5.4529999999999745
11,CNRM-CM6-1,2065.674,2056.366,9.307999999999993
12,CNRM-CM6-1-HR,2089.008,2056.271,32.736999999999625
13,CNRM-ESM2-1,2090.388,2077.756,12.632000000000062
14,CanESM5,,,
15,CanESM5-CanOE,,,
16,EC-Earth3,,,
17,EC-Earth3-Veg,,,
18,FGOALS-f3-L,,,
19,FGOALS-g3,,,
20,FIO-ESM-2-0,,,
21,GFDL-ESM4,,,
22,GISS-E2-1-G,2036.279,2031.012,5.267000000000053
23,HadGEM3-GC31-LL,2063.604,2048.922,14.681999999999789
24,HadGEM3-GC31-MM,2038.653,2034.413,4.240000000000009
25,IITM-ESM,,,
26,INM-CM4-8,,,
27,INM-CM5-0,,,
28,IPSL-CM5A2-INCA,2062.327,2056.219,6.108000000000175
29,IPSL-CM6A-LR,,,
30,KACE-1-0-G,,2055.55,
31,KIOST-ESM,,,
32,MCM-UA-1-0,,,
33,MIROC-ES2L,,2046.93,
34,MIROC6,,2057.614,
35,MPI-ESM1-2-HR,,,
36,MPI-ESM1-2-LR,,,
37,MRI-ESM2-0,,2054.202,
38,NESM3,,,
39,NorESM2-LM,,,
40,NorESM2-MM,,,
41,TaiESM1,2031.037,2028.522,2.5150000000001
42,UKESM1-0-LL,2048.038,2036.887,11.151000000000067
43,UKESM1-1-LL,2059.356,2047.392,11.96400000000017
