,year,Experiment,Model,adjusted_world_tas_anom,adjusted_no_arctic_tas_anom
0,1850,historical,ACCESS-CM2,,
391,1851,historical,ACCESS-CM2,,
781,1852,historical,ACCESS-CM2,,
1171,1853,historical,ACCESS-CM2,,
1561,1854,historical,ACCESS-CM2,,
1951,1855,historical,ACCESS-CM2,0.12429967924706359,0.11691705032090974
2341,1856,historical,ACCESS-CM2,0.12317197921513746,0.11465586909943372
2731,1857,historical,ACCESS-CM2,0.1086803781441848,0.09957940896177825
3121,1858,historical,ACCESS-CM2,0.07666541259634431,0.06529762893169193
3511,1859,historical,ACCESS-CM2,0.046265316209635234,0.04065788314858219
3901,1860,historical,ACCESS-CM2,0.019841287161880466,0.018239898785641712
4291,1861,historical,ACCESS-CM2,0.010222288334215889,0.01065382053175468
4681,1862,historical,ACCESS-CM2,2.730006609762626e-05,0.003531296161336644
5071,1863,historical,ACCESS-CM2,-0.005961128928441212,-0.005748461283287019
5461,1864,historical,ACCESS-CM2,-0.018328810902001065,-0.020856362668106986
5851,1865,historical,ACCESS-CM2,-0.03628189422671954,-0.039986097454014234
6241,1866,historical,ACCESS-CM2,-0.044211730819036975,-0.0473496419827315
6631,1867,historical,ACCESS-CM2,-0.034513312443441926,-0.03950578383755313
7021,1868,historical,ACCESS-CM2,-0.010696174463371426,-0.01593457649863237
7411,1869,historical,ACCESS-CM2,-0.006805750250491221,-0.014004762292435077
7801,1870,historical,ACCESS-CM2,0.005887197764951497,-0.007806046768864166
8191,1871,historical,ACCESS-CM2,0.020863242174363635,0.004302294414499108
8581,1872,historical,ACCESS-CM2,0.028671361071199487,0.009093831186474428
8971,1873,historical,ACCESS-CM2,0.036604937518906235,0.01857563486220866
9361,1874,historical,ACCESS-CM2,0.053860419644213946,0.03775896213428045
9751,1875,historical,ACCESS-CM2,0.060819200770208526,0.046725882341738766
10141,1876,historical,ACCESS-CM2,0.056031892578772335,0.044062862937739374
10531,1877,historical,ACCESS-CM2,0.05095581626299311,0.042552712467468924
10921,1878,historical,ACCESS-CM2,0.03796371998958193,0.03346595758506928
11311,1879,historical,ACCESS-CM2,0.04438591603312778,0.03989094218093487
11701,1880,historical,ACCESS-CM2,-0.006208923886961917,-0.0062211095477793495
12091,1881,historical,ACCESS-CM2,-0.04595067793412087,-0.037726561724587646
12481,1882,historical,ACCESS-CM2,-0.08028035457663582,-0.06758011825959521
12871,1883,historical,ACCESS-CM2,-0.10917957661682394,-0.09145589199702324
13261,1884,historical,ACCESS-CM2,-0.13074155294979592,-0.11173419115287303
13651,1885,historical,ACCESS-CM2,-0.14388762908577304,-0.12241792074164567
14041,1886,historical,ACCESS-CM2,-0.1463226968463895,-0.12319624021861662
14431,1887,historical,ACCESS-CM2,-0.15718384146256148,-0.1329981813896793
14821,1888,historical,ACCESS-CM2,-0.18915597268495182,-0.16684441205408204
15211,1889,historical,ACCESS-CM2,-0.19406959517492237,-0.1738979703664845
15601,1890,historical,ACCESS-CM2,-0.15440605010582276,-0.13523179653754855
15991,1891,historical,ACCESS-CM2,-0.11906350021257732,-0.10605746373547947
16381,1892,historical,ACCESS-CM2,-0.07954859122486145,-0.06855681059108563
16771,1893,historical,ACCESS-CM2,-0.05022243470290317,-0.04184099337238834
17161,1894,historical,ACCESS-CM2,-0.016794500012389624,-0.010840543724645409
17551,1895,historical,ACCESS-CM2,0.006058144203797631,0.008095886935816064
17941,1896,historical,ACCESS-CM2,0.023615294827553424,0.022331809742554092
