,year,Experiment,Model,adjusted_world_tas_anom,adjusted_no_arctic_tas_anom
0,1850,historical,ACCESS-CM2,,
392,1851,historical,ACCESS-CM2,,
783,1852,historical,ACCESS-CM2,,
1174,1853,historical,ACCESS-CM2,,
1565,1854,historical,ACCESS-CM2,,
1956,1855,historical,ACCESS-CM2,,
2347,1856,historical,ACCESS-CM2,,
2738,1857,historical,ACCESS-CM2,,
3129,1858,historical,ACCESS-CM2,,
3520,1859,historical,ACCESS-CM2,,
3911,1860,historical,ACCESS-CM2,0.02796788218453637,0.018133076693181583
4302,1861,historical,ACCESS-CM2,0.0229023846060819,0.012818577726825361
4693,1862,historical,ACCESS-CM2,0.020221760023075967,0.008824941252319734
5084,1863,historical,ACCESS-CM2,0.015637061399613957,0.0029108685843125992
5475,1864,historical,ACCESS-CM2,0.0008113217119903464,-0.009628907719349648
5866,1865,historical,ACCESS-CM2,-0.006867891809770897,-0.018584725237594486
6257,1866,historical,ACCESS-CM2,-0.0038719225360304478,-0.016087660667852343
6648,1867,historical,ACCESS-CM2,-0.005206797736861111,-0.017374765516763407
7039,1868,historical,ACCESS-CM2,-0.004118958943321391,-0.017263201352312102
7430,1869,historical,ACCESS-CM2,-0.001385418814278199,-0.015012867449049847
7821,1870,historical,ACCESS-CM2,-0.007534067555633264,-0.02062448371472392
8212,1871,historical,ACCESS-CM2,-0.014646229369534719,-0.026160866261048125
8603,1872,historical,ACCESS-CM2,-0.012061148736450249,-0.022663573583298357
8994,1873,historical,ACCESS-CM2,-0.006007160237526466,-0.01466567217744569
9385,1874,historical,ACCESS-CM2,-0.00023974740735097091,-0.010052390640900542
9776,1875,historical,ACCESS-CM2,-0.02143667430113173,-0.03209139616807647
10167,1876,historical,ACCESS-CM2,-0.035287089419844,-0.04280192746013851
10558,1877,historical,ACCESS-CM2,-0.0501194762056714,-0.0566404597552285
10949,1878,historical,ACCESS-CM2,-0.061844676045900424,-0.0645883993641153
11340,1879,historical,ACCESS-CM2,-0.06425311631896126,-0.06519301159884942
11731,1880,historical,ACCESS-CM2,-0.06771340902220688,-0.06614098475873322
12122,1881,historical,ACCESS-CM2,-0.07175257876708946,-0.06804119390759453
12513,1882,historical,ACCESS-CM2,-0.0806655931315039,-0.07428740817858136
12904,1883,historical,ACCESS-CM2,-0.10581218595757273,-0.09799377792179047
13295,1884,historical,ACCESS-CM2,-0.10496850450205399,-0.09834085839488829
13686,1885,historical,ACCESS-CM2,-0.11108191589570503,-0.10245225974065564
14077,1886,historical,ACCESS-CM2,-0.11354220492496819,-0.10373943735267806
14468,1887,historical,ACCESS-CM2,-0.11064232353580154,-0.09951692877622399
14859,1888,historical,ACCESS-CM2,-0.11040355711693034,-0.09794873779215266
15250,1889,historical,ACCESS-CM2,-0.10376742791097328,-0.09202827219289778
15641,1890,historical,ACCESS-CM2,-0.09833895445895295,-0.0874713661102225
16032,1891,historical,ACCESS-CM2,-0.08988181237913084,-0.08004046149621385
16423,1892,historical,ACCESS-CM2,-0.08728343574537696,-0.07845647842254716
16814,1893,historical,ACCESS-CM2,-0.0857949660915986,-0.07898525397296897
17205,1894,historical,ACCESS-CM2,-0.09031022077758549,-0.08418882458619223
17596,1895,historical,ACCESS-CM2,-0.07376132788822481,-0.06781888619634742
17987,1896,historical,ACCESS-CM2,-0.058884359437203555,-0.05534323970990124
18378,1897,historical,ACCESS-CM2,-0.039577310869802165,-0.03790823597474336
18769,1898,historical,ACCESS-CM2,-0.0371794904010404,-0.03709062187718939
19160,1899,historical,ACCESS-CM2,-0.03297130209840089,-0.033830861604503985
19551,1900,historical,ACCESS-CM2,-0.035632404368722476,-0.03570988770351362
19942,1901,historical,ACCESS-CM2,-0.030292360237094747,-0.02976848079550473
20333,1902,historical,ACCESS-CM2,-0.02484127631749066,-0.02284943598815748
20724,1903,historical,ACCESS-CM2,-0.024265245862824913,-0.017556439101920972
21115,1904,historical,ACCESS-CM2,-0.03593310722851534,-0.024712738628367124
21506,1905,historical,ACCESS-CM2,-0.05959320521774996,-0.044208123106291144
21897,1906,historical,ACCESS-CM2,-0.07350234595906285,-0.053951066074736154
22288,1907,historical,ACCESS-CM2,-0.07799316136219933,-0.0566004113415978
22679,1908,historical,ACCESS-CM2,-0.10173992069376996,-0.07702034572431288
23070,1909,historical,ACCESS-CM2,-0.1156470394390629,-0.08744773763248477
23461,1910,historical,ACCESS-CM2,-0.12729163771157667,-0.09604119178546439
23852,1911,historical,ACCESS-CM2,-0.142416158977866,-0.10775810137208629
24243,1912,historical,ACCESS-CM2,-0.1548878035324084,-0.11675109763099469
24634,1913,historical,ACCESS-CM2,-0.17433259026210732,-0.13277917128335207
25025,1914,historical,ACCESS-CM2,-0.17216986817161473,-0.13096792016996855
25416,1915,historical,ACCESS-CM2,-0.16778895445176562,-0.12717410272349314
25807,1916,historical,ACCESS-CM2,-0.16268531662824456,-0.12346393592714636
26198,1917,historical,ACCESS-CM2,-0.16769624195949434,-0.1265513887516494
26589,1918,historical,ACCESS-CM2,-0.15515340009185988,-0.11382172323704144
26980,1919,historical,ACCESS-CM2,-0.14828115179885698,-0.10466189608083114
27371,1920,historical,ACCESS-CM2,-0.1316163573177896,-0.08869925373134556
27762,1921,historical,ACCESS-CM2,-0.13183019329303305,-0.08993659532025747
28153,1922,historical,ACCESS-CM2,-0.1349552432751785,-0.09642192395886114
28544,1923,historical,ACCESS-CM2,-0.1149442134698635,-0.08214946847906245
28935,1924,historical,ACCESS-CM2,-0.08922070808632876,-0.06194457126581221
29326,1925,historical,ACCESS-CM2,-0.04376048883199951,-0.02269918148984941
29717,1926,historical,ACCESS-CM2,-0.016048393416101415,-0.0025553583539531135
30108,1927,historical,ACCESS-CM2,0.00117912771953856,0.009640487884256435
30499,1928,historical,ACCESS-CM2,0.023371809955234937,0.025647464513350655
30890,1929,historical,ACCESS-CM2,0.03580407265085238,0.0344259054933887
31281,1930,historical,ACCESS-CM2,0.05305937857696023,0.04982302915958074
31672,1931,historical,ACCESS-CM2,0.07256520728055219,0.06490255367735503
32063,1932,historical,ACCESS-CM2,0.10070045493173788,0.0889166694936146
32454,1933,historical,ACCESS-CM2,0.12879473796782986,0.11275706269233719
32845,1934,historical,ACCESS-CM2,0.14314262282612306,0.1265364218953061
33236,1935,historical,ACCESS-CM2,0.16016160424615317,0.1422346227996959
33627,1936,historical,ACCESS-CM2,0.17766110239319494,0.15813753917371917
34018,1937,historical,ACCESS-CM2,0.19484791374458874,0.1718186477086072
34409,1938,historical,ACCESS-CM2,0.19575098806995914,0.170534508422915
34800,1939,historical,ACCESS-CM2,0.19966187686564796,0.17341469451307437
35191,1940,historical,ACCESS-CM2,0.2037644458830036,0.17609527586904
35582,1941,historical,ACCESS-CM2,0.20311960536654058,0.17414064739259702
35973,1942,historical,ACCESS-CM2,0.21340160797097807,0.18683916193317981
36364,1943,historical,ACCESS-CM2,0.21759697374690784,0.19072255449155778
36755,1944,historical,ACCESS-CM2,0.21798985044430458,0.19068792940494508
37146,1945,historical,ACCESS-CM2,0.20231972208064572,0.17618319123322462
37537,1946,historical,ACCESS-CM2,0.19577876783432904,0.17209299758550586
37928,1947,historical,ACCESS-CM2,0.18161247558011748,0.1607431173676108
38319,1948,historical,ACCESS-CM2,0.18511038772602256,0.16709550616686852
38710,1949,historical,ACCESS-CM2,0.1835075692238912,0.16590524529102046
39101,1950,historical,ACCESS-CM2,0.1836698684326422,0.16652818806504374
39492,1951,historical,ACCESS-CM2,0.18857572604784303,0.17153330243188195
39882,1952,historical,ACCESS-CM2,0.18279323303384815,0.16641858262373804
40272,1953,historical,ACCESS-CM2,0.17797235661173338,0.16326611122687776
40662,1954,historical,ACCESS-CM2,0.16484446104784778,0.1503757736073815
