,Model,No_arctic_crossing_year,World_crossing_year,gap
0,ACCESS-CM2,2041.898,2038.298,3.599999999999909
1,ACCESS-ESM1-5,2044.849,2041.829,3.019999999999982
2,BCC-CSM2-MR,2052.999,2042.109,10.889999999999873
3,CAMS-CSM1-0,2059.474,2052.314,7.160000000000309
4,CAS-ESM2-0,2045.728,2043.574,2.1539999999999964
5,CESM2,2045.718,2042.338,3.380000000000109
6,CESM2-WACCM,2050.955,2046.709,4.245999999999867
7,CIESM,2069.536,2055.772,13.764000000000124
8,CMCC-CM2-SR5,2050.796,2046.042,4.753999999999905
9,CMCC-ESM2,2043.259,2039.941,3.3179999999999836
10,CNRM-CM6-1,2051.975,2045.954,6.020999999999958
11,CNRM-CM6-1-HR,2050.527,2046.817,3.7100000000000364
12,CNRM-ESM2-1,2049.798,2047.654,2.143999999999778
13,CanESM5,2055.588,2051.302,4.286000000000058
14,CanESM5-CanOE,2065.374,2051.66,13.713999999999942
15,EC-Earth3,2061.003,2056.082,4.9210000000002765
16,EC-Earth3-CC,2078.686,2071.246,7.440000000000055
17,EC-Earth3-Veg,2075.527,2065.659,9.867999999999938
18,EC-Earth3-Veg-LR,2067.646,2063.891,3.755000000000109
19,FGOALS-f3-L,2070.506,2055.72,14.786000000000058
20,FGOALS-g3,2100.199,2076.833,23.365999999999985
21,FIO-ESM-2-0,2070.413,2057.141,13.271999999999935
22,GFDL-CM4,2049.396,2044.639,4.757000000000289
23,GFDL-ESM4,2068.715,2055.998,12.717000000000098
24,GISS-E2-1-G,2049.387,2044.128,5.259000000000242
25,HadGEM3-GC31-LL,2052.842,2045.524,7.318000000000211
26,IITM-ESM,2077.112,2058.721,18.391000000000076
27,INM-CM4-8,2058.916,2050.208,8.708000000000084
28,INM-CM5-0,2066.014,2060.261,5.753000000000156
29,IPSL-CM6A-LR,2054.32,2048.675,5.644999999999982
30,KACE-1-0-G,2058.293,2049.903,8.390000000000327
31,KIOST-ESM,2080.761,2063.953,16.807999999999993
32,MCM-UA-1-0,2064.211,2060.017,4.19399999999996
33,MIROC-ES2L,2055.22,2049.865,5.355000000000018
34,MIROC6,2044.376,2039.673,4.7029999999999745
35,MPI-ESM1-2-HR,2069.633,2061.961,7.6720000000000255
36,MPI-ESM1-2-LR,2061.738,2049.586,12.152000000000044
37,MRI-ESM2-0,2050.983,2047.164,3.8190000000001874
38,NESM3,2060.872,2054.53,6.3419999999996435
39,NorESM2-LM,2067.549,2062.652,4.8969999999999345
40,NorESM2-MM,2070.657,2050.345,20.312000000000353
41,UKESM1-0-LL,2041.275,2035.555,5.720000000000027
