,arctic_trend,world_trend,AA,Ensemble_member,Model,No_arctic_crossing_year,World_crossing_year,gap
0,0.13696372190296002,0.04496585205811439,3.0459496625560774,r1i1p1f1,ACCESS-CM2,2025.703,2023.073,2.6299999999998818
1,0.13369878978111602,0.04096636863708215,3.2636231677145497,r2i1p1f1,ACCESS-CM2,2027.602,2024.589,3.0130000000001473
2,0.08849285207519851,0.03165313164270703,2.7957060639081353,r1i1p1f1,ACCESS-ESM1-5,2030.55,2028.198,2.3519999999998618
3,0.07318951109630992,0.03240387700838542,2.2586652540796295,r2i1p1f1,ACCESS-ESM1-5,2031.653,2028.467,3.185999999999922
4,0.10620830970283793,0.03355376267692563,3.1653174258121473,r3i1p1f1,ACCESS-ESM1-5,2027.429,2023.93,3.4990000000000236
5,0.05207846725724339,0.020370142515426546,2.5566078989287266,r1i1p1f1,AWI-CM-1-1-MR,2043.631,2037.202,6.429000000000087
6,0.0650235004693609,0.02638791357847495,2.4641395112951114,r1i1p1f1,BCC-CSM2-MR,2032.603,2029.596,3.007000000000062
7,0.06370115058844032,0.026723616919479925,2.3837024299658323,r1i1p1f1,CAMS-CSM1-0,2042.596,2039.007,3.588999999999942
8,0.10479422984162468,0.040565444832748765,2.583337376767124,r1i1p1f1,CAS-ESM2-0,2028.88,2025.728,3.1520000000000437
9,0.040550087660381144,0.03158893425614462,1.2836801435456284,r4i1p1f1,CESM2,2031.672,2029.279,2.393000000000029
10,0.04529936731834801,0.02856585821034638,1.5857870253637558,r1i1p1f1,CESM2-WACCM,2033.946,2030.53,3.41599999999994
11,0.03638017201438233,0.02413711173054533,1.50722971416433,r2i1p1f1,CESM2-WACCM,2040.221,2036.964,3.257000000000062
12,0.03692081430660849,0.024853677457923037,1.4855272170130542,r3i1p1f1,CESM2-WACCM,2038.435,2035.516,2.918999999999869
13,0.06088788662657198,0.021280125536536357,2.8612559884589075,r1i1p1f1,CIESM,2035.109,2029.606,5.502999999999929
14,0.07875925440079645,0.02747209051246102,2.8668824589476425,r1i1p1f1,CMCC-CM2-SR5,2039.969,2036.804,3.1649999999999636
15,0.11602173987727638,0.03704845960864321,3.131621155180474,r1i1p1f1,CMCC-ESM2,2037.219,2034.083,3.1359999999999673
16,0.05631478361262138,0.030603748656886712,1.8401269806517297,r1i1p1f2,CNRM-CM6-1,2032.09,2028.763,3.326999999999998
17,0.10111603084967866,0.03885867613211858,2.6021481150280708,r2i1p1f2,CNRM-CM6-1,2027.533,2025.292,2.2409999999999854
18,0.05265035163144025,0.030154143893690488,1.7460403391673447,r3i1p1f2,CNRM-CM6-1,2029.788,2026.299,3.4890000000000327
19,0.08518512968870944,0.035734542618145404,2.3838315379879482,r4i1p1f2,CNRM-CM6-1,2029.726,2027.959,1.7670000000000528
20,0.05871063748581711,0.03049816220526943,1.925054929233512,r5i1p1f2,CNRM-CM6-1,2031.02,2028.422,2.5979999999999563
21,0.03543879523256585,0.02995979353464952,1.1828784865149247,r6i1p1f2,CNRM-CM6-1,2030.436,2028.009,2.4269999999999072
22,0.0633084746411619,0.02835642237514351,2.232597391998803,r1i1p1f2,CNRM-CM6-1-HR,2033.796,2030.417,3.379000000000133
23,0.011859671013477163,0.026282226248309355,0.4512430150105741,r1i1p1f2,CNRM-ESM2-1,2033.728,2031.613,2.115000000000009
24,0.07776711361195522,0.036160987501344104,2.150580473198212,r2i1p1f2,CNRM-ESM2-1,2032.487,2030.373,2.1140000000000327
25,0.20152207997838573,0.05539948395108073,3.6376165553515856,r3i1p1f2,CNRM-ESM2-1,2025.602,2022.88,2.72199999999998
26,0.15680899849884333,0.056931269014506,2.7543562828168935,r4i1p1f2,CNRM-ESM2-1,2023.5,2021.35,2.150000000000091
27,0.03805769008904015,0.03395261101051007,1.12090613818358,r5i1p1f2,CNRM-ESM2-1,2026.591,2024.631,1.959999999999809
28,0.049593041884638915,0.021446060170988435,2.312454664830552,r10i1p1f1,CanESM5,2040.271,2034.647,5.624000000000024
29,0.07328080379793597,0.023133851675137283,3.167687111813433,r10i1p2f1,CanESM5,2038.808,2032.362,6.445999999999913
30,0.06885642900643821,0.02440260143024223,2.8216839587071316,r11i1p1f1,CanESM5,2035.723,2029.833,5.889999999999873
31,0.07012253817257691,0.02122365148831497,3.303980854151512,r11i1p2f1,CanESM5,2043.539,2036.1,7.439000000000078
32,0.07667953138068011,0.023994878347562833,3.195662435540894,r12i1p1f1,CanESM5,2038.952,2031.916,7.036000000000058
33,0.07833934743278198,0.024307073739752477,3.2229032697038966,r12i1p2f1,CanESM5,2036.74,2030.888,5.852000000000089
34,0.07528658243296406,0.02189672937837892,3.438256971258132,r13i1p1f1,CanESM5,2041.456,2035.185,6.270999999999958
35,0.06032027006950427,0.021902786021492412,2.75399987975567,r13i1p2f1,CanESM5,2038.336,2031.166,7.170000000000073
36,0.06920334042437369,0.024046608544083626,2.877883602484157,r14i1p1f1,CanESM5,2038.665,2034.052,4.613000000000056
37,0.09118066546830692,0.025982928246010006,3.5092528680753605,r14i1p2f1,CanESM5,2034.517,2027.962,6.555000000000064
38,0.06770943717852923,0.022785649865265448,2.971582446798931,r15i1p1f1,CanESM5,2037.482,2031.891,5.5909999999998945
39,0.10677911896808069,0.02642719433807003,4.040501522867249,r15i1p2f1,CanESM5,2035.22,2028.942,6.27800000000002
40,0.08546870875653928,0.02461875622175169,3.471690770511962,r16i1p1f1,CanESM5,2034.612,2028.29,6.322000000000116
41,0.09908739351564706,0.025879906240591558,3.8287385044785287,r16i1p2f1,CanESM5,2037.788,2030.953,6.835000000000036
42,0.0679604839705763,0.021765910383558372,3.1223359268221826,r17i1p1f1,CanESM5,2040.661,2034.335,6.326000000000022
43,0.09016902869624104,0.024910790753962343,3.619677495861854,r17i1p2f1,CanESM5,2036.72,2030.196,6.524000000000115
44,0.07634442702861155,0.02288762843411654,3.335619819605763,r18i1p1f1,CanESM5,2039.962,2032.958,7.003999999999905
45,0.09149662780219364,0.02727101275657546,3.355087272295467,r18i1p2f1,CanESM5,2032.197,2027.851,4.345999999999776
46,0.0653049386390747,0.022422510564253026,2.9124721985051383,r19i1p1f1,CanESM5,2038.41,2032.837,5.573000000000093
47,0.07916077350729149,0.022953325323080833,3.4487714696262755,r19i1p2f1,CanESM5,2037.177,2030.847,6.329999999999927
48,0.07033912775233546,0.02320297845890542,3.0314697691467685,r1i1p1f1,CanESM5,2038.303,2030.462,7.841000000000122
49,0.08618145457348854,0.024721043052518835,3.4861576993494814,r1i1p2f1,CanESM5,2035.323,2028.943,6.380000000000109
50,0.07549110839764502,0.024697721261688663,3.0566021698020998,r20i1p1f1,CanESM5,2038.362,2030.978,7.3840000000000146
51,0.09481992897836466,0.026076489872525473,3.636222875160363,r20i1p2f1,CanESM5,2035.616,2029.47,6.145999999999958
52,0.08714831806251326,0.0243621735231404,3.577197986039114,r21i1p1f1,CanESM5,2035.481,2029.65,5.830999999999904
53,0.09570552138433838,0.02633784140599284,3.633764814247906,r21i1p2f1,CanESM5,2036.172,2029.731,6.441000000000031
54,0.07326473248747986,0.023614568375841152,3.1025226174547926,r22i1p1f1,CanESM5,2038.182,2031.819,6.363000000000056
55,0.08613808870769499,0.024696833124106008,3.487819198309179,r22i1p2f1,CanESM5,2038.618,2032.446,6.1720000000000255
56,0.07504623588239473,0.02244824939766292,3.343077429022495,r23i1p1f1,CanESM5,2040.409,2034.11,6.2990000000002055
57,0.09493908341900005,0.02725033653412578,3.483960034772679,r23i1p2f1,CanESM5,2036.735,2030.617,6.117999999999938
58,0.07471593923975828,0.023809072474097054,3.1381289347178503,r24i1p1f1,CanESM5,2037.869,2031.086,6.782999999999902
59,0.08404610269750841,0.025076152792710547,3.3516346543374067,r24i1p2f1,CanESM5,2035.505,2029.233,6.272000000000162
