,Unnamed: 0,arctic_trend,world_trend,AA,trend_period,Model,Experiment,Ensemble_member,Months,No_arctic_crossing_year,World_crossing_year,gap
167,0,0.1008772875316993,0.0386059930866084,2.6129955342786206,2015_2065,CanESM5,ssp245,r1i1p1f1,all,2055.588,2051.302,4.286000000000058
168,0,0.1165146927670198,0.0364997395866139,3.192206138636422,2015_2065,CanESM5,ssp245,r19i1p2f1,all,2064.408,2057.32,7.087999999999738
169,0,0.103268418838575,0.0373389212055001,2.765704404533337,2015_2065,CanESM5,ssp245,r19i1p1f1,all,2066.611,2058.322,8.28899999999976
170,0,0.129960058755846,0.0412876909997372,3.147670785384268,2015_2065,CanESM5,ssp245,r18i1p2f1,all,2057.183,2051.229,5.954000000000178
171,0,0.1213446928865181,0.0393688430237174,3.0822519425682677,2015_2065,CanESM5,ssp245,r18i1p1f1,all,2059.805,2051.731,8.073999999999614
172,0,0.1307192959888423,0.0390402714300571,3.348319343092512,2015_2065,CanESM5,ssp245,r17i1p2f1,all,2061.66,2054.314,7.346000000000004
173,0,0.1120747788421427,0.0370963940067481,3.02117717484226,2015_2065,CanESM5,ssp245,r17i1p1f1,all,2068.18,2057.096,11.083999999999833
174,0,0.1482923664877752,0.0402005754446463,3.688812034344248,2015_2065,CanESM5,ssp245,r16i1p2f1,all,2062.583,2050.978,11.605000000000018
175,0,0.1254048964844118,0.0393456054855946,3.187265640894141,2015_2065,CanESM5,ssp245,r16i1p1f1,all,2058.399,2050.648,7.750999999999749
176,0,0.1435332145730511,0.040266312305794,3.564597956798686,2015_2065,CanESM5,ssp245,r15i1p2f1,all,2059.589,2049.582,10.007000000000062
177,0,0.1106809606504832,0.0377929200981179,2.9286162689501976,2015_2065,CanESM5,ssp245,r15i1p1f1,all,2062.489,2053.047,9.442000000000007
178,0,0.124209682680822,0.0393130180615936,3.1595051411778314,2015_2065,CanESM5,ssp245,r14i1p2f1,all,2063.454,2054.815,8.639000000000124
179,0,0.1218253241682781,0.0414182227992103,2.941346005087425,2015_2065,CanESM5,ssp245,r14i1p1f1,all,2056.975,2048.955,8.019999999999982
180,0,0.1008300934230611,0.035432750614258,2.84567502310948,2015_2065,CanESM5,ssp245,r13i1p2f1,all,2062.822,2058.076,4.746000000000095
181,0,0.1211875654213616,0.0378251942365252,3.2038848145382177,2015_2065,CanESM5,ssp245,r13i1p1f1,all,2068.541,2056.185,12.356000000000222
182,0,0.1230556567422348,0.0384335937059386,3.2017733674283124,2015_2065,CanESM5,ssp245,r12i1p2f1,all,2060.298,2051.663,8.634999999999764
183,0,0.1299601415026626,0.0406728973221061,3.195251630919047,2015_2065,CanESM5,ssp245,r12i1p1f1,all,2056.453,2051.215,5.237999999999829
184,0,0.1137683486160733,0.0354174163651497,3.2122147884287764,2015_2065,CanESM5,ssp245,r11i1p2f1,all,2066.188,2057.676,8.512000000000171
185,0,0.1112875844597339,0.0402871951415736,2.762356229284689,2015_2065,CanESM5,ssp245,r11i1p1f1,all,2054.034,2048.511,5.523000000000138
186,0,0.1116599909008271,0.0371911165651509,3.002329620978774,2015_2065,CanESM5,ssp245,r10i1p2f1,all,2068.157,2054.142,14.015000000000327
187,0,0.0817505885038296,0.037048691045039,2.206571573728412,2015_2065,CanESM5,ssp245,r10i1p1f1,all,2061.795,2055.281,6.514000000000124
188,0,0.0263264984216721,0.0209700511037018,1.2554332028797377,2015_2065,IITM-ESM,ssp245,r1i1p1f1,all,2077.112,2058.721,18.391000000000076
189,0,0.0376001236480507,0.0155331704058656,2.4206342083166907,2015_2065,FGOALS-g3,ssp245,r1i1p1f1,all,2100.199,2076.833,23.365999999999985
190,0,0.0708256749505064,0.0259566109225288,2.7286179679579745,2015_2065,FGOALS-f3-L,ssp245,r1i1p1f1,all,2070.506,2055.72,14.786000000000058
191,0,0.0706200891881636,0.0327543185332624,2.1560542960601694,2015_2065,CAS-ESM2-0,ssp245,r1i1p1f1,all,2045.728,2043.574,2.1539999999999964
192,0,0.026230450585571,0.0210201677364199,1.247870659953094,2015_2065,CAMS-CSM1-0,ssp245,r1i1p1f1,all,2059.474,2052.314,7.160000000000309
193,0,0.0601310364665656,0.0259894048516546,2.3136750075574466,2015_2065,BCC-CSM2-MR,ssp245,r1i1p1f1,all,2052.999,2042.109,10.889999999999873
194,0,0.0620015438590678,0.0263575495103374,2.3523258045954125,2015_2065,AWI-CM-1-1-MR,ssp245,r1i1p1f1,all,,,
195,0,0.0978875108297945,0.0416576948414806,2.3498062291320823,2015_2065,TaiESM1,ssp245,r1i1p1f1,all,,,
