,Unnamed: 0,arctic_trend,world_trend,AA,trend_period,Model,Experiment,Ensemble_member,Months,No_arctic_crossing_year,World_crossing_year,gap
34,0,0.0557041519923192,0.0224499378176051,2.481260858933705,2015_2065,MPI-ESM1-2-LR,ssp245,r2i1p1f1,all,2066.541,2061.604,4.937000000000353
35,0,0.0633762119526032,0.0222387469031573,2.8498103885343227,2015_2065,MPI-ESM1-2-LR,ssp245,r1i1p1f1,all,2061.738,2049.586,12.152000000000044
36,0,0.0484585003020767,0.0208337862638271,2.325957446641055,2015_2065,MPI-ESM1-2-LR,ssp245,r10i1p1f1,all,2066.302,2059.355,6.947000000000116
37,0,0.1501298270093257,0.0466660365330469,3.21711116184058,2015_2065,UKESM1-0-LL,ssp245,r9i1p1f2,all,2042.764,2036.897,5.866999999999962
38,0,0.1572877622528139,0.0437200780641791,3.597609364327359,2015_2065,UKESM1-0-LL,ssp245,r8i1p1f2,all,2045.534,2037.796,7.738000000000056
39,0,0.1378323454230664,0.0456481782104229,3.0194489862816667,2015_2065,UKESM1-0-LL,ssp245,r7i1p1f2,all,,,
40,0,0.1398901026015412,0.0453568123372481,3.0842137132873413,2015_2065,UKESM1-0-LL,ssp245,r6i1p1f2,all,,,
41,0,0.1456467039705095,0.0460003910861809,3.1662057763300977,2015_2065,UKESM1-0-LL,ssp245,r5i1p1f2,all,,,
42,0,0.1621409221670901,0.0497022727519263,3.262243619650287,2015_2065,UKESM1-0-LL,ssp245,r4i1p1f2,all,2035.563,2031.331,4.232000000000198
43,0,0.1469470018056469,0.0460951369663113,3.187906826549693,2015_2065,UKESM1-0-LL,ssp245,r3i1p1f2,all,2045.445,2040.911,4.533999999999878
44,0,0.130639759268461,0.047934913856099,2.7253571303088693,2015_2065,UKESM1-0-LL,ssp245,r2i1p1f2,all,2036.387,2032.432,3.9549999999999272
45,0,0.1453784132287193,0.0430167473472071,3.3795770762328003,2015_2065,UKESM1-0-LL,ssp245,r1i1p1f2,all,2041.275,2035.555,5.720000000000027
46,0,0.1431921877488817,0.0457380434534994,3.130702079428936,2015_2065,UKESM1-0-LL,ssp245,r19i1p1f2,all,2041.355,2037.043,4.3120000000001255
47,0,0.1269610321283009,0.0404093053677267,3.1418761340475654,2015_2065,UKESM1-0-LL,ssp245,r18i1p1f2,all,2047.927,2042.967,4.959999999999809
48,0,0.1417760277469984,0.040515645033989,3.4992908943708225,2015_2065,UKESM1-0-LL,ssp245,r17i1p1f2,all,2047.188,2040.409,6.778999999999996
49,0,0.1500027691012393,0.0465439728514835,3.2228183352521507,2015_2065,UKESM1-0-LL,ssp245,r16i1p1f2,all,2043.394,2038.92,4.473999999999933
50,0,0.1403417389655252,0.0461370300479557,3.04184597100531,2015_2065,UKESM1-0-LL,ssp245,r12i1p1f2,all,2034.095,2030.873,3.22199999999998
51,0,0.147414181137106,0.0508594477770086,2.898462086797283,2015_2065,UKESM1-0-LL,ssp245,r11i1p1f2,all,2036.251,2031.908,4.343000000000075
52,0,0.1243424395167589,0.0404035685188659,3.077511320780956,2015_2065,UKESM1-0-LL,ssp245,r10i1p1f2,all,2048.624,2041.794,6.8299999999997
53,0,0.130746831646799,0.0428363163087008,3.052242650945267,2015_2065,HadGEM3-GC31-LL,ssp245,r5i1p1f3,all,2042.554,2038.075,4.479000000000042
54,0,0.1268153736847424,0.0447162209371102,2.8360038265106997,2015_2065,HadGEM3-GC31-LL,ssp245,r4i1p1f3,all,2037.687,2033.738,3.9489999999998417
55,0,0.1127753745443713,0.0413354645766011,2.728295803604209,2015_2065,HadGEM3-GC31-LL,ssp245,r3i1p1f3,all,2040.303,2036.225,4.078000000000202
56,0,0.1070992018486923,0.0363946250599465,2.942720296535175,2015_2065,HadGEM3-GC31-LL,ssp245,r2i1p1f3,all,2054.202,2046.152,8.050000000000182
57,0,0.1151619812533132,0.0359860908227268,3.2001803647031077,2015_2065,HadGEM3-GC31-LL,ssp245,r1i1p1f3,all,2052.842,2045.524,7.318000000000211
58,0,0.0495951561736612,0.0235782899466549,2.1034246455476024,2015_2065,MIROC6,ssp245,r9i1p1f1,all,,,
59,0,0.0237378879511081,0.0183053679547846,1.296771963816411,2015_2065,MIROC6,ssp245,r8i1p1f1,all,,,
60,0,0.117238719607371,0.0307675386703174,3.810467937120873,2015_2065,MIROC6,ssp245,r7i1p1f1,all,,,
61,0,0.0411299686030125,0.0198995301006348,2.066881398455754,2015_2065,MIROC6,ssp245,r6i1p1f1,all,,,
62,0,0.0691287771706144,0.0237009332292462,2.916711190313453,2015_2065,MIROC6,ssp245,r5i1p1f1,all,,,
63,0,0.0766303513913371,0.0191771109001053,3.9959278428595897,2015_2065,MIROC6,ssp245,r4i1p1f1,all,,,
